date,city,confirmed_cases,percent_of_total(%)
3/21/20,carlsbad ,11,6.9
3/21/20,chula vista ,4,2.5
3/21/20,del mar ,2,1.3
3/21/20,el cajon ,2,1.3
3/21/20,encinitas ,4,2.5
3/21/20,escondido ,2,1.3
3/21/20,national city ,1,0.6
3/21/20,oceanside ,4,2.5
3/21/20,poway ,1,0.6
3/21/20,san diego ,87,54.7
3/21/20,san marcos ,3,1.9
3/21/20,santee ,1,0.6
3/21/20,solana beach ,2,1.3
3/21/20,vista ,2,1.3
3/21/20,fallbrook ,2,1.3
3/21/20,ramona ,2,1.3
3/21/20,rancho santa fe ,2,1.3
3/21/20,unknown* ,3,1.9
3/21/20,total san diego county residents ,135,84.9
3/22/20,carlsbad ,12,5.9
3/22/20,chula vista ,4,2
3/22/20,del mar ,4,2
3/22/20,el cajon ,2,1
3/22/20,encinitas ,5,2.4
3/22/20,escondido ,3,1.5
3/22/20,la mesa ,1,0.5
3/22/20,national city ,2,1
3/22/20,oceanside ,4,2
3/22/20,poway ,2,1
3/22/20,san diego ,118,57.6
3/22/20,san marcos ,3,1.5
3/22/20,santee ,1,0.5
3/22/20,solana beach ,2,1
3/22/20,vista ,2,1
3/22/20,fallbrook ,2,1
3/22/20,lakeside ,1,0.5
3/22/20,ramona ,2,1
3/22/20,rancho santa fe ,3,1.5
3/22/20,unknown* ,5,2.4
3/22/20,total san diego county residents ,178,86.8
3/23/20,carlsbad ,14,6.1
3/23/20,chula vista ,6,2.6
3/23/20,del mar ,5,2.2
3/23/20,el cajon ,7,3
3/23/20,encinitas ,5,2.2
3/23/20,escondido ,5,2.2
3/23/20,la mesa ,1,0.4
3/23/20,national city ,3,1.3
3/23/20,oceanside ,5,2.2
3/23/20,poway ,2,0.9
3/23/20,san diego ,134,58.3
3/23/20,san marcos ,3,1.3
3/23/20,santee ,1,0.4
3/23/20,solana beach ,1,0.4
3/23/20,vista ,2,0.9
3/23/20,bonita ,1,0.4
3/23/20,fallbrook ,2,0.9
3/23/20,lakeside ,2,0.9
3/23/20,ramona ,2,0.9
3/23/20,rancho santa fe ,5,2.2
3/23/20,spring valley ,2,0.9
3/23/20,unknown* ,5,2.2
3/23/20,total san diego county residents ,213,92.6
3/24/20,carlsbad,13,
3/24/20,chula Vista,7,
3/24/20,coronado,0,
3/24/20,del mar,5,
3/24/20,el cajon,8,
3/24/20,encinitas,7,
3/24/20,escondido,6,
3/24/20,la mesa,1,
3/24/20,lemon grove,0,
3/24/20,national city,3,
3/24/20,oceanside,7,
3/24/20,poway,2,
3/24/20,san diego,141,
3/24/20,san marcos,3,
3/24/20,santee,1,
3/24/20,solana beach,1,
3/24/20,vista,2,
3/24/20,bonita,1,
3/24/20,fallbrook,2,
3/24/20,jamul,0,
3/24/20,lakeside,2,
3/24/20,ramona,2,
3/24/20,rancho santa fe,5,
3/24/20,san ysidro,0,
3/24/20,spring valley,3,
3/24/20,total san diego county residents ,222,
3/25/20,carlsbad,16,
3/25/20,chula vista,13,
3/25/20,coronado,0,
3/25/20,del mar,5,
3/25/20,el cajon,13,
3/25/20,encinitas,8,
3/25/20,escondido,6,
3/25/20,la mesa,1,
3/25/20,lemon grove,1,
3/25/20,national city,5,
3/25/20,oceanside,7,
3/25/20,poway,3,
3/25/20,san diego,169,
3/25/20,san marcos,3,
3/25/20,santee,1,
3/25/20,solana beach,1,
3/25/20,vista,3,
3/25/20,bonita,1,
3/25/20,fallbrook,2,
3/25/20,jamul,1,
3/25/20,lakeside,2,
3/25/20,ramona,2,
3/25/20,rancho santa fe,5,
3/25/20,san ysidro,1,
3/25/20,spring valley,4,
3/25/20,total san diego county residents ,273,
3/26/20,carlsbad ,15,4.4
3/26/20,chula vista ,17,5
3/26/20,del mar ,5,1.5
3/26/20,el cajon ,19,5.6
3/26/20,encinitas ,12,3.5
3/26/20,escondido ,7,2.1
3/26/20,la mesa ,1,0.3
3/26/20,lemon grove ,1,0.3
3/26/20,national city ,6,1.8
3/26/20,oceanside ,8,2.3
3/26/20,poway ,4,1.2
3/26/20,san diego ,207,60.7
3/26/20,san marcos ,3,0.9
3/26/20,santee ,2,0.6
3/26/20,solana beach ,1,0.3
3/26/20,vista ,5,1.5
3/26/20,bonita ,1,0.3
3/26/20,fallbrook ,2,0.6
3/26/20,lakeside ,2,0.6
3/26/20,ramona ,2,0.6
3/26/20,rancho santa fe ,5,1.5
3/26/20,spring valley ,4,1.2
3/26/20,unknown* ,12,3.5
3/26/20,total san diego county residents ,341,100
3/27/20,carlsbad,18,
3/27/20,chula vista,21,
3/27/20,coronado,1,
3/27/20,del mar,6,
3/27/20,cl cajon,20,
3/27/20,encinitas,14,
3/27/20,escondido,7,
3/27/20,la mesa,3,
3/27/20,lemon grove,1,
3/27/20,national city,6,
3/27/20,oceanside,8,
3/27/20,poway,5,
3/27/20,san diego,251,
3/27/20,san marcos,3,
3/27/20,santee,2,
3/27/20,solana beach,1,
3/27/20,vista,6,
3/27/20,bonita,2,
3/27/20,fallbrook,3,
3/27/20,jamul,0,
3/27/20,lakeside,2,
3/27/20,ramona,3,
3/27/20,rancho santa fe,6,
3/27/20,san ysidro,1,
3/27/20,spring valley,5,
3/28/20,carlsbad ,20,3.9
3/28/20,chula vista ,24,4.6
3/28/20,coronado ,1,0.2
3/28/20,del mar ,6,1.2
3/28/20,el cajon ,29,5.6
3/28/20,encinitas ,18,3.5
3/28/20,escondido ,9,1.7
3/28/20,la mesa ,4,0.8
3/28/20,lemon grove ,3,0.6
3/28/20,national city ,8,1.5
3/28/20,oceanside ,11,2.1
3/28/20,poway ,7,1.3
3/28/20,san diego ,314,60.5
3/28/20,san marcos ,4,0.8
3/28/20,santee ,2,0.4
3/28/20,solana beach ,2,0.4
3/28/20,vista ,10,1.9
3/28/20,bonita ,2,0.4
3/28/20,fallbrook ,4,0.8
3/28/20,lakeside ,3,0.6
3/28/20,ramona ,4,0.8
3/28/20,rancho santa fe ,7,1.3
3/28/20,spring valley ,9,1.7
3/28/20,unknown* ,18,3.5
3/28/20,total san diego county residents ,519,100
